text,sentiment
Wow,2
"Jd long weekend ,trs bepergian kemana2 .Gk jd hemat BBM🥲🥲 .WFH itu hrsnya ditengah minggu🙄",0
ditambah libur nya jadi 3 hari udah ini mah dipake liburan percuma hemat bbm sama aja bbm nya dipake liburan jauh 🙏🏻,1
ibarat nya rakyat terus bekerja pemerintah libur 3 hari,1
"ASN tugasnya melayani rakyat malah lebih bnyak libur daripada masyarakat nya sendiri, bhkan ad yg gk punya hari libur😂 diluar nalar",2
"ASN Sabtu emnk libur, jd tambah Jumat 3 hari liburnya dalam sepekan 😂",1
"WFH tapi Cafe, Tempat Hiburan, hingga tempat wisata ramai😂😂😂 , lebih ke cuan bisnis lain gk sih😢",0
itu yg diharapkan jg. ekonomi brputar,0
Lah... trus target hemat BBMnya gimana Pak Bos? Mau mereka ke tempat wisata jalan kaki??,0
"Harus nya di tambah jumat + senin.....biar waktu holiday nya panjang.  pejabat senang rakyat sengsara
",0
Kalo mau WFH tuh antara selasa sampe kamis...kalo jumat sih auto holiday long weekend luar kota yg bbm nya lebih banyak dari pada buat ke kantor 👏👏👏,0
trs jalan2 long weekend nya pakai mbl plat merah donk......😂😂,0
Work from hotel aja ga siii,1
Heddehhh apakah ini solusi??,1
"Anak sekolah tetap tatap muka, biar MBG bisa berjalan dengan baik...😂😂",2
saya yg jadi guru sebenarnya juga ingin WFH seperti sektor lain... Apalagi jam kerja 6 hari. Tapi sepertinya cuma bisa ngarep...,0
"kalaupun BBM naik saya tetep milih anak saya tatap muka, bukan daring...",0
WFH = Wow Fada Holiday😂😂,2
WFH = Wasssik For Holiday🛍🎈⛱,2
"WFH ko jumat yg ada bukan hemat BBM malah boros BBM, kl mau WFH itu rabu atau selasa atau kamis gt loh, trs MBG, kopdes di audit baru hemat 🙌",0
"Buruh tetap kerja,oke paham",1
"kita buruh tetap kudu banting tulang, yg enak ASN doank bro",0
"Kalau mau kasih kebijakan kenapa gak stop MBG itu lumayan looh bisa jadi buat nambah anggaran subsidi BBM dan non subsidi, atau kurangi fasilitas2 yg didapat pejabat2 negara, DPR/MPR, yang boros kan kalian ngawal satu org dikawal beberapa kendaraan, rakyatkan punya kendaraan cuma 1 itu pun buat hemat naiknya transportasi umum, kenapa siih rakyat terus yang dibuat sulit🥺🥺🥺",0
"Ga usah banding”in diri lu yg BUMC dan asn…dng bilang asn ga ada kerja bla”…kalau lu jd ASN jg pasti lu seneng ama kebijakan ini!! Biarkan saja negara ini dengan segala kepijaksanaannya, selagi FURAB masih ada negara akan aman saja! 💜💜💜💜💜💜",0
MBGnya bisa dipertimbangkan stop dulu bapak ibu pemerintah yg terhormat🙏,0
Jumat WFH Sabtu Minggu libur ya pda keluyuran holiday wong jam kerja aja brani pulang TDR apa lagi WFH,1
"asik bgt, 3 hari libur tiap Minggu ye😂",1
"harusnya dilakukan hari Rabu saja, jangan digandeng dengan hari libur Sabtu minggu",0
bener banget peraturan makin berpihak aja sama ASN....enak bet kerja ampe kamis....hadeeeeuh..,0
"iya, harusnya wfh hari Rabu. Hari tengah 😀",0
Semua kebijakan slalu memudahkan para pejabat. Sementara kebijakan ke rakyat selalu menyulitkan..👏👏,0
tapi yg kamu gk tau WFH ini utk staf saja. Pejabatnya masih kerja di kantor tuh hari jumat,0
"tetap aj enak, yg dikasih WFH yg kerjanya diruangan ber AC, cmn pindah tempat ke rumah yg juga ber AC",0
bener banget ...hadeeeeeuuh kerja sampe kamis enak ya ASN... @prabowo ....yakin dirumah pada kerja...?,1
Asssiikk dok @anggitaraini libur Jum'at sampai Minggu 😍🔥 ,1
Kenapa ga mulai besok aja? kaya yg tiap harinya kerja aja,1
"Efesiensi itu harusnya kmrin ga belanja mobil dari prindavan. Lalu MBG prioritasin daerah atau siswa yg "" Kurang mampu misal krna sekolah saya anak2 nya mampu toi dpt mbg nah ini ga tepat sasaran brguru jg sekolah2 lain",0
Ini sih judulnya tiap minggu long weekend bukan menghemat BBM malah nyuruh liburan tiap weekend 😂😂,0
JADI LONG WEEKAND BUAT ASN BISA LIBURAN 😂😂,1
Guru giman neh?? Semua ASN ga?? Termasuk MBG?,0
Atur semau lo aja deh pada,0
Liat otaknya lebh pintar kita milih waktu WFH,0
"mereka tuh pinter jugo pak, itulah hari jumat tuh, biar panjang libur mereka wkwk",1
Heddehhh apakah ini solusi??,1
"Kayak nya nih pengalihan issue Embege ,setelah rame di gempur protes oleh rakyat indonesi kaitan proyek Embege tiba2 gempar bbm.Lah kl ASN dikasih WFH hari Jumat yg ada pada Hilling Booossss Mayann 3 hari. 😵‍💫🫣🤦",0
Kenapa ga mulai besok aja? kaya yg tiap harinya kerja aja,1
"WFH ko jumat yg ada bukan hemat BBM malah boros BBM, kl mau WFH itu rabu atau selasa atau kamis gt loh, trs MBG, kopdes di audit baru hemat 🙌",0
Negara sebesar ini di handle bocil.ini😢😢,0
JADI LONG WEEKAND BUAT ASN BISA LIBURAN 😂😂,1
Guru giman neh?? Semua ASN ga?? Termasuk MBG?,0
"Asn libur , trus yg p3k gimana, kan dalam instansi ada yg asn ada yg p3k, jd p3k cuma pengganti diwaktu libur buat asn kah atau gimana ???? Aneh bangetttt mau irit biaya negara ya MBG di hentikan beberapa hari yaitu anak SD SMP SMA diliburkan, ini malah ASN nya yg diliburkan , ga masuk akal , yg pemborosan siapa yg diliburkan siapa, 😂😂😂 aneh emg jaman ambisi ni",0
Objek wisata yg rame ....WTF jadinya,0
Tidak termasuk untuk Negara Rebuplik L***o,0
"Nggk gitu bahlul, kalo mau hemat bbm elu dan para menteri yang lain nggk udah naik mobil dinas🔥",0
"Stop MBG lah klo mau hemat, tolol kaliii",0
Mbg yg kau stop koplak...rezim lawak lawak...,0
Lha ASN tok a sing gae BBM 😂,2
"😂 bukannya makin nambah mobilitas ya, kan bisa kerja dimana aja, dicafe, direstoran, ditempat nongkrong dn di gunung, jdi apakah it berdampak mengurangi penggunaan BBM ???😂😂",0
"Fix sih! Enak keatas, syulit kebawah 🤐",0
Enak kali ya yg 5 hr kerja..bablas long weekend..harusnya jangan di jumat dong.. Untuk nakes gmn dong ga ada kompensasinya..yg 6 hr kerja,0
"Lumayan, bisa liburan 3 hari di weekend? 😂",1
Apa urgensinya ya 😢😢😢😂😂😂😂,1
"INI LANGKAH YG DI AMBIL, SEBELUM BBM NAIK,..",2
terlalu byk di akal akali rakyat kite niee,0
"Gpp mau 5 hari kerja, 4 hari kerja dlm seminggu juga terserah. Tapi pas lagi masuk harus maksimal dan optimal ya kak ted harapannya semua ASN begituu..salam dari krywn BUMC 😂",0
"Gak berlaku ambek aku, termasuk ambek seng nyuting video iki, seng ngupload ambek seng gae naskah e 😭",0
4hari kerjanya jd libur jumat sabtu minggu masuk senin sd kamis.kcl layanan kesehatan kantor2 mah libur dari jumat,1
Hoalah malah liburan la orang itu😢😢,1
Si alay gemulai .... pokoknya ada dech 😂,0
Yakin WFH? Ntar malah kabur2an tuh kemana mana,0
Asyik long weekend,2
😯😯😮😲 Sukak Sukak KAU Laaah Preeetttt,2
Kocak😂,0
Paling jg dibuat liburan sama ASN😂,1
Harus nya di tambah jumat + senin.....biar waktu holiday nya panjang,0
pejabat senang rakyat sengsara,0
Enak yh long weeknd😂,0
Ingin Berkata Kasar Anjink 🔥,0
Asyik bisa liburan 😂,1
Asikkk,2
ngk ada wibawa pemerintah konoha,2
"Penghematan apa pemborosan woy,seharusnya WFH itu di lakukan di tengah Minggu yaitu hari Rabu dan MBG di tiadakan baru bisa efektif,kalau hari Jum'at itu namanya long weekend dan disitulah banyak orang menggunakan BBM untuk berliburan dan itu dinamakan pemborosan BBM bukan penghematan BBM 😂😂",0
Fix beban rakyat.,0
Ayo healing😂😂😂😂😂,1
Halah. Emang hari2 lain di kantor kerja kah???,0
GIMANA CARA MASTIIN NYA KALO BENER2 WFH??????,1
Tambah gak karuan wkwkkwkw jadi libur panjang jam kerja aja abis absen nongkrong enak,1
"Kalau tujuannya efisiensi BBM, kebijakan begini layak dicoba dulu sambil dievaluasi",0
"Di wlingi ada mesin PlasFuel yang mengubah sampah plastik jadi BBM, bisa jadi alternatif seiring kasus sampah plastik yg membludak",0
Aku bingung mau berkata apa😌,0
"Ya Allah…..lindungilah Presiden kami Bapak prabowo dan para menteri beliau, berilah kemudahan bagi mereka untuk melakukan yang terbaik untuk bangsa dan negara kami, Aamiin Allahumma Aamiin",1
Knp setiap liat berita selalu mumet 😫,0
Jaman presiden sby kata nya mau bangun proyek kilang minyak...kok sampai skrng kita rakyat Indonesia harus hemat BBM,0
Tedy tedy,2
"Boros BBM jg pejabat, knp pejabat selalu dimudahkan dan masyarakat di miskin kan",0
"Tujuan nya long weekend emang anjing , kebijakan lol",0
"Ayem yahhh, sing pakhal harian WFH ya bundet pak seskabbbbb😍 ya pora Gus",1
Hemat bbm wfh ? La saya bakul pasar kalau ikut wfh mau dapat uang drmn sayang .,0
wfh..mereka bisa aja wfh nya di kuar kota bawa kendaraan sendiri.....apakah itu akan hemat bbm?....serius nanya neh bunda td..,0
"Udah tau kan kenapa kita ngak maju , kebijakannya aja kek gini👏",0
Long wekend ini mah..tambah boros BBM..kaya gak tau aja kelakuan pejabat PNS konoha,0
"Kebijakan yg gak masuk akal, kalau memang mau menghemat BBM ya harusnya diwajibkan menggunakan transportasi umum bukan malah WFH hari Jum'at yang ada malah pada boros BBM karena liburan sambil kerja 🫢😅",0
JSM wayahe holideee utk peenes🔥🔥🔥🔥,2
"si negara seremonial...kieu kieu wae siga nu heueuh, apakabar kamari bencana sumatra",0
Rakyat yang akan merasakan dampak,0
Apakah sdh tepat sasaran efesiensi nya...🤭,2
Ini orang ngapain sih pgn nampang bgt.,1
Opone yang ada malah kluyuran😂,2
Atuuuur aja Boooosss,2
Long weekend,2
Yang di untungkan pegawai2 negara rakyat tetap kerja lawakkk bner,1
Mnk ini mah pada mau nya kalian aja 😂,0
Saya sebagai asn trimakasi xixi,2
"Kami di Aceh sekolah normal 6 hari, bukan 5 hari",1
Enak banget jadi ASN,0
"Dih 😂 makin banyak yg bilang ""emg paling enak jadi PNS"" enak beneran ternyata makan gaji buta 😂",0
"pejabat di Indonesia ini klo bikin peraturan, kebijakan dll dipikir dulu ga ya?? 🤔 (sepertinya sih ga mikir!!!)",0
Waaawww hebat bangettt... Ini sebuah pencapaian,0
Nakes gmna???,2
Lebih baik buat supsidi BBM atau pendidikan geratis sampai jenjang sarjana,0
1 hari rakyat semua libur ' yang ada pada holiday wkwkwkk dan juga semua ekonomi menurun wkwkwk ada Bae Dunia gebrakannya 😂,0
"kalau mau hemat bbm bukan wfh, melaikan pakai akutan umum atau sepda pancal",0
"Pelayanan publik ttp kerja, hahahaa gak adil 😂",2
Kok hari jumat ted? Katanya rabu? Emamg tolol pejabat2 kita,0
lho? emang asn instansi itu ngapain aja kerjaannya?,0
ga wfh aja kerja berantakan apalagi wfh😂,1
Makan melulu yg diurus,0
kocak,0
😂😂 ada lagi aja kebijakan cacat pemerintah Kocak 😂😂,0
Kok tiap bikin kebijakan ga ada yg pas gitu. Intinya mbg tu jalan terus.😂,0
Wkwkk,2
Rasa presiden nih,1
Wfh mepet k weekend 😂😂😂 knp g hari rabu wfh nya,2
"Serah lu dah atur aja enak nya gimana👏 dulu gua sekola sabtu masuk, skrg kektai seenaknya😢",0
mau hemat....mana bs percy hemat kalo badan nya gede....naekin aja cukai rokok....pajak export sawit...pajak import baterai....,0
Rakyat merasa terdzolimi pak,0
Saeeee.... 🥱,2
Asn makin kgak kerja,1
yakin tu ASN pada WFH .. bertanya dengan nada dering,2
Gak kerja ga dpt duit woiii,2
nambah dosa muluuu dengar ketotolan pemerintahan iniii . ada ajaaa peraturan tolol,0
"Kalau bileh saran wfh ny dihari Rabu, jika hari jum'at atau hari senin bakal dianggap libur panjang dan orang2 bakal liburan kemana2...",1
Rabu kalau WFH jgn longweekend . Kocak nya ngocak bgtzzz 🫣,0
KALO GA TOLOL YA BUKAN PEMERINTAH NAMA NYA,0
"Ok mantap , jd long weekend 3 hari jumat sabtu minggu hulidayy😂😂 apakah itu yg d namakan HEMAT¿🤣",1
"Seharusnya hari Rabu, bukan Jumat..",0
"Kenapa gak hari senin aja? Secara mobilitas masyarakat tinggi kalau hari senin, Jum'at udah banyak yang dirumah sebenarnya",0
Judulnya aja WFH nanti bakalan pada HOLIDAY semua,0
Kebijakan LAWAAAAAAAAAAK,0
Klo mau WFH nya Rabu 😂,0
"Solusinya cuma 1, yaitu stop MBG (stop buang-buang duit APBN untuk hal ga penting, ampe triliunan)😢",0
ikut aje gw derr....,0
Ttp aparat dan asn yg enak😂,0
Inimah masuk Syurga Jalur WNI 😍🔥,0
Solusi yg kmprt😮,1
Sidang Hemat BBM di Seoul - Korea Selatan 🔥🔥🔥,0
Pejabatnya kapasitasnya sangat ........😢,0
makin kesini banyk kebijakan yg gak bermanfaat,2
Tunjangan pejabat dong yang harusnya dikurangin buat EFISIENSI,0
"Yeeee,,long weekend..",2
Wfh tai malah travelling cok bngst,0
"Wfh, nyatanya jalan* ke moll 😂",0
Stop bbm kerjane melaku,0
Pasti tidak berlaku untuk swasta dan akan di kembalikan lg kebijakan setiap perusahaan wkwkwk,0
Jumat sabtu minggu senin (cuti),2
Wessss pokokee awureeennn,2
Wfh digunkan mudik😂😂. Sama aja,1
Pemerintah nya bikin kebijakan buang2 uang ....saaattttt,0
Ngadi2 saja kebijakan pemerintah ini 😂,0
Apa la ngaruh nya..wfh 1 hari..di hari weekend pulaa..bakalan liburan laa ASN ni..gaya nya kayak ngumumin sesuatu yg bombastis aza..pake confrence pers😢,0
Swasta engga?,2
Libur Nanti malah jalan jalan sama aja pakai kendaraan,1
Kelen WFH juga gak guys?,1
"kalau WFH, ntar MBG nya diantarin atau dijemput min ?",0
wfh tiap hari bang,2
wfh dari jaman covid sampe sekarang,0
iya dong Work From Hoffice 😍,2
damkar siap melayani masyarakat1x24 setiap hari..tanpa wfh,0
"gak, nakes ga diajak kak😭",1
"Hp ditaruk di rumah, orangnya quality time keluar.. 😂❤️",2
Beli hp satu lagi. Bisa. Biar libur makin panjang. Contoh jatim. Wfh nya hari rabu. Jadi ga bs long weekend. Ide cerdas ibu,0
WFA nya hari rabu jgn jumat.. Sama aja mindahin long weekend tiap minggu 🤪 jangan lupa hrs Ada video conference + kasih tugas kerjaan yg harus disetor ke atasanya itu mungkin baru efektif,0
atasan jg butuh long weekend sob🙏🤣,0
"Yg paling lucu anak sekolah di suruh belajar WFH di rumah, tapi guru2 nya di suruh ngajar WFH di sekolah...!!!😂😂😂😂😂",2
hah kan sektor pendidikan ga ada SFH,0
anak sekolah gak ada WFH. Gimana dgn proyek MBG itu kalo anak sekolah WFH. MBG kan tetap harus jalan walau perang di seluruh dunia dan selama dunia masih blm kiamat.,0
Kayanya makin hari makin sering bikin kebijakan yg menguntungkan mereka mereka doang ya. Rakyat mah dianggap angin doang wkwk,1
Tinggal aja di rumah..mereka jalan² deh pakai BBM 😂😂😂,2
Bisa gak kalo bikin kebijakan di bicarain dulu sama rakyat?!,0
Ya Allah capek banget dgn pemerintahan skrg,1
"ELEH,ASN mah tiap hari juga datang setengah hari kan pak,absen terus pulang 😂 mending gaji rendah aja mereka pak buang2 anggaran.",0
"aku lebih baik masuk aja lah, gak wfh gk apa apa, lebih suka format awal, libur sabtu gitu sprti biasanya aja",0
"Setuju bang, sebenernya tidak wfh pun tidak apa2, cuma karna ini kan instruksi pusat karna wacana penghematan. Jadinya masyarakat ini suudzon sama asn",0
"WFH dibuat hari jum’at? Yah dah pasti long weekend lah😂. Gak WFH aja kerja nya gak bener, apalagi WFH.",1
Kerja bnyk nongkrong sm main hp ktmbh wfh mkin nikmat jd asn😂,1
"Bukan hemat, tapi caos kayanya 😂",0
Gimana kalau mereka yg dekat naik ontel yg jauh naik kendaraan umum aja,0
Setiap buat kebijakan kalau gak menguntungkan pejabat ya pejabat. 😂,0
"aish nggak semua tempat itu sama, ada yg kantornya berpuluh2 kilometer dari rumah, ada yg angkotnya jarang, belom lagi mahal diongkos, semisal lu keluar bensin 1 liter 12rb buat satu hari pake montor, naik kendaraan umum PP keluar duit 30rb buat sehari. Lah mending lu pake montor lah lebih hemat.",0
yaudah WFO aja kan ya gausah WFH kok ribet.,0
"ASN seperti Anak SD....gimana mau menujuh Indonesia Emas 2045, yg ada Indonesia Cemas setiap saat....",0
Sehebatnya apa monitoring dari pemerintah 😂,0
"salah ASN diperlakukan seperti anak SD, dan yang mengatur adalah pejabat pusat. Karna ASN selalu jadi kambing hitam kebijakan dan dianggap musuh publik oleh masyarakat. apa ASN yg minta WFH ini",0
gak masalah yang penting kerjaannya beres. mereka wfh dikasih kerjaan tidak? itu salah sistem mereka sendiri kalau gak ada kerjaan saat wfh.,0
"Asssik tiap minggu jadwal turing .... Rapat lewat zoom.... brenti aja dulu dibawah pohon, atau gantian nyupir... kuat²in aja pulsa....Jadi hemat BBM? Kota/ tempat wisata macet ngga? Jadi efisiensi di berbagai aspek?",0
Harii kerja aja mereka nongki di coffee shop 🫡,1
"Jum'at,sabtu,minggu waktunya piknik bawa kendaraan dinas yg gratis bbm.......sungguh nikmat jadi ASN",1
maaf saya ASN dan tidak kena kebijakan WFH alias full 6 hari kerja serta ke tempat kerja menggunakan sepeda (bike to work). Jadi sebelum ramai himbauan efisiensi saya sudah melakukannya (bike to work) selama 16 tahun s.d sekarang,0
"dan buruh serta pekerja swasta dikejar target,lembur tanpa bayaran utk memenuhi target perusahaan dan bisa bayar pajak ke negara",0
swasta gaji mereka sampai njeleput 😂,0
ASN kaya gini yang harus jd contoh oleh yang lainnya dan jd perhatian para petinggi negara - cuma mslhnya dari 100 persen yang kaya kakak paling 5 persennya saja kak 😢,0
wfh nya rabu aja,2
libur 3 hari siapa yg di untungkan bohong jika mereka buka laptop di rumah ada mungkin yg menguntungkan misal proyek mau cair.,0
setuju...soalnya kalo hr jumat juga biasanya dtg jam 10 pulang jam 2 😂,0
"KENAPA WFH nya hari jumat, BIAR BS LONG WEKEND lah 😂😂😂😂",0
"emang dikira kita banyak duit,suudzon mulu,ya kali tiap Minggu long weekend ya jebol,dikira gaji ASN gede gede semua, dan WFH itu ya wajib d rumah krn kami udh dpantau pake data ga bs pake fake fake lg,udh canggih teknologi nya,kami pst absensi pake muka d rumah pagi siang sore,jd ga usah suudzon mulu",0
gak ada yg jamin kalo lu kerja kalo wfh,0
"Halah komennya aja nyudutin ASN Mulu,wfh hari Jumat long weekend lah jalan jalan mulu lah,kalian bisanya suudzon mulu,cobain dong jd ASN aplgi ASN yg kerja d pelayanan publik baru bs komentar",0
"lah emang seluruh ASN Indonesia sama besaran gajinya? Noh ddaerah kampung gue d Pandeglang masih bnyk yg kecil TUNJANGAN NYA, dan gaji pokok kita emang kecil dbanding UMR Jakarta aja kalah jauh,kalau yg lu blg soal tunjangan ya tergantung instansi sm PAD daerah lah ga bisa lu sama ratakan juga semua gede,msh bnyk gaji ASN di daerah yg pas pasan (gue ngmng gaji bukan gaji pokok) mknya lu cobain dl jd PNS biar lu ga suudzon mulu",0
"lah produktivitas ditanyain,kan dsuruh stand by HP klo ada kerjaan dadakan ya hrs siap sedia,kita jg dsuruh bikin laporan tiap hari klo wfh,ada ekinerja yg bisa dpantau tiap hari,masih kurang??kalau km pengen tau produktivitas nya gmn cobain dl jd PNS, tuh sodara sy ASN d rumah sakit lebaran aja ga libur tuh,jd ga usah nyinyir2 trs menyamaratakan oknum sm seluruh ASN,sakit tau d denger sm kita ASN yg emang kerjanya ga kenal hari libur,jd tolong lah hargain kami jg manusia kyk kalian,kami jg bayar pajak,kami jg kerja melakukan pelayanan kayak kalian,yuk bljr menghargai rezeki dlm bntk pekerjaan sesama manusia dan stop nyinyir,ngurang2in pahala aja",0
"biar bisa Jumatan dirumah dan memang tujuannya buat Long Weekend, kata Menteri Purbaya buat memutar bisnis Pariwisata juga.",2
"Udah kerjaannya enak, nyantai, gaji seumur hidup, dapet WFH pula. Siapa yg gk tergiur sampe nyogok. Bismillah pns murni tahun ini🙏",0
"Halo teman-teman, bisa tolong bantu naikkan berita penipuan loker bpjs Medan sekitar? Korbannya udah banyak tapi yg saya tau beberapa ngga mau speak up buat menyuarakan keadilan sedangkan korban yg lain saya ngga tau, jadi saya minta bantuan kalian siapa tau bisa ketemu korban yg lain dan bisa sama-sama menuntut keadilan. Untuk buktinya lengkap ya dari bukti percakapan sampai tf pun ada. Kami sudah coba untuk melaporkan hal ini ke pihak yg berwajib namun sampai sekarang belum ada perkembangan kasusnya. Terimakasih sebelumnya ya.",0
"Kurangi juga tu yang buat menteri Ama anggota dewan,tidur di kantor aja full amunisi+tunjangan 🤣",0
Wfo aja belum tentu bagus kinerjanya apalagi wfh 👏,0
Kebijakan asbun 😂,0
"BAKOL PLASTIK & UMKM MENJERIT KOK GAK ADA BERITANYA INI, min mimin…",0
"Klw soal begitu doang mah, ASN kita jago ngibulin nya 😂",1
"LAH INI BISA AGAR LOKASINYA DI KETAHUI ,BERARTI GAMPANG DONK CARI TAU MARKAS JUDAL,NARKOBA,KRIMINAL BAHKN KORUPTOR YANG KABUR😂😂😂😂",0
Asn tuh pinter punya 2 hp satu taruh dirumah dia jalan jalan lagian bedanya kerja dirumah sama kerja di mall apa seh wong sama2 kerjanya emang mereka pada asn gak bisa kerja sama saling nutupin saling bantu atasan juga manusia pak mendagri,1
Basa basi👏👏👏,0
asn bukanya kerja nya di mall setiap hari?🤭,0
Cek aja cek aja. Tempat nongkrong paling lama ya di wece😂,0
